Rk,Name,Inducted,Yrs,From,To,ASG,WAR/pos,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,GDP,SF,SH,BA,OBP,SLG,OPS
1,Hank Aaron\aaronha01,1982,23,1954,1976,25,142.6,3298,13941,12364,2174,3771,624,98,755,2297,240,73,1402,1383,293,328,121,21,.305,.374,.555,.928
2,Pete Alexander\alexape01,1938,20,1911,1930,0,3.1,703,1978,1810,154,378,60,13,11,163,3,5,77,276,,,,88,.209,.242,.275,.517
3,Roberto Alomar\alomaro01,2011,17,1988,2004,12,66.8,2379,10400,9073,1508,2724,504,80,210,1134,474,114,1032,1140,62,206,97,148,.300,.371,.443,.814
4,Walter Alston\alstowa01,1983,1,1936,1936,0,0.0,1,1,1,0,0,0,0,0,0,0,,0,1,,0,,0,.000,.000,.000,.000
5,Sparky Anderson\andersp01,2000,1,1959,1959,0,-1.2,152,527,477,42,104,9,3,0,34,6,9,42,53,1,15,2,5,.218,.282,.249,.531
6,Cap Anson\ansonca01,1939,27,1871,1897,0,93.9,2524,11331,10281,1999,3435,582,142,97,2075,277,16,984,330,,6,,34,.334,.394,.447,.841
7,Luis Aparicio\aparilu01,1984,18,1956,1973,13,55.7,2599,11230,10230,1335,2677,394,92,83,791,506,136,736,742,22,184,76,161,.262,.311,.343,.653
8,Luke Appling\applilu01,1964,20,1930,1950,7,74.5,2422,10254,8856,1319,2749,440,102,45,1116,179,108,1302,528,,129,,74,.310,.399,.398,.798
9,Richie Ashburn\ashburi01,1995,15,1948,1962,6,63.6,2189,9736,8365,1322,2574,317,109,29,586,234,92,1198,571,25,83,18,112,.308,.396,.382,.778
10,Earl Averill\averiea01,1975,13,1929,1941,6,48.0,1669,7221,6353,1224,2019,401,128,238,1164,70,58,774,518,,7,,55,.318,.395,.534,.928
11,Jeff Bagwell\bagweje01,2017,15,1991,2005,4,79.6,2150,9431,7797,1517,2314,488,32,449,1529,202,78,1401,1558,155,221,102,3,.297,.408,.540,.948
12,Home Run Baker\bakerfr01,1955,13,1908,1922,0,62.8,1575,6667,5984,887,1838,315,103,96,991,235,54,473,344,,,,153,.307,.363,.442,.805
13,Dave Bancroft\bancrda01,1971,16,1915,1930,0,48.5,1913,8249,7182,1048,2004,320,77,32,591,145,75,827,487,,,,212,.279,.355,.358,.714
14,Ernie Banks\bankser01,1977,19,1953,1971,14,67.4,2528,10394,9421,1305,2583,407,90,512,1636,50,53,763,1236,198,229,96,45,.274,.330,.500,.830
15,Jake Beckley\becklja01,1971,20,1888,1907,0,61.5,2392,10517,9551,1603,2938,473,244,87,1581,315,,616,526,,,,167,.308,.361,.436,.797
16,Johnny Bench\benchjo01,1989,17,1967,1983,14,75.0,2158,8674,7658,1091,2048,381,24,389,1376,68,43,891,1278,135,201,90,11,.267,.342,.476,.817
17,Chief Bender\bendech01,1953,16,1903,1925,0,5.5,507,1276,1147,102,243,40,10,6,116,20,2,75,160,,,,42,.212,.266,.280,.546
18,Yogi Berra\berrayo01,1972,19,1946,1965,18,59.5,2120,8359,7555,1175,2150,321,49,358,1430,30,26,704,414,49,146,44,9,.285,.348,.482,.830
19,Craig Biggio\biggicr01,2015,20,1988,2007,7,65.1,2850,12504,10876,1844,3060,668,55,291,1175,414,124,1160,1753,68,150,81,101,.281,.363,.433,.796
20,Bert Blyleven\blylebe01,2011,22,1970,1992,2,-1.2,218,514,451,19,59,7,0,0,25,0,0,5,193,0,4,0,56,.131,.144,.146,.290
21,Wade Boggs\boggswa01,2005,18,1982,1999,12,91.1,2439,10740,9180,1513,3010,578,61,118,1014,24,35,1412,745,180,236,96,29,.328,.415,.443,.858
22,Jim Bottomley\bottoji01,1974,16,1922,1937,0,35.3,1991,8354,7471,1177,2313,465,151,219,1422,58,15,664,591,,33,,177,.310,.369,.500,.869
23,Lou Boudreau\boudrlo01,1970,15,1938,1952,8,63.0,1646,7025,6029,861,1779,385,66,68,789,51,50,796,309,,155,,164,.295,.380,.415,.795
24,Roger Bresnahan\bresnro01,1945,17,1897,1915,0,41.0,1446,5375,4481,682,1252,218,71,26,530,212,4,714,403,,,,112,.279,.386,.377,.764
25,George Brett\brettge01,1999,21,1973,1993,13,88.4,2707,11625,10349,1583,3154,665,137,317,1596,201,97,1096,908,229,235,120,26,.305,.369,.487,.857
