Rk,Name,Inducted,Yrs,From,To,ASG,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF
1,Pete Alexander\alexape01,1938,20,1911,1930,0,116.98,373,208,.642,2.56,696,600,81,436,90,32,5190.0,4868,1852,1476,165,951,,2198,70,1,38,20893
2,Chief Bender\bendech01,1953,16,1903,1925,0,43.99,212,127,.625,2.46,459,334,112,255,40,34,3017.0,2645,1108,823,40,712,,1711,102,10,79,11895
3,Bert Blyleven\blylebe01,2011,22,1970,1992,2,96.49,287,250,.534,3.31,692,685,3,242,60,0,4970.0,4632,2029,1830,430,1322,71,3701,155,19,114,20491
4,Mordecai Brown\brownmo01,1949,14,1903,1916,0,55.11,239,130,.648,2.06,481,332,138,271,55,49,3172.1,2708,1044,725,43,673,,1375,61,4,61,12422
5,Jim Bunning\bunniji01,1996,17,1955,1971,9,60.27,224,184,.549,3.27,591,519,39,151,40,16,3760.1,3433,1527,1366,372,1000,98,2855,160,8,47,15618
6,Steve Carlton\carltst01,1994,24,1965,1988,10,84.13,329,244,.574,3.22,741,709,13,254,55,2,5217.2,4672,2130,1864,414,1833,150,4136,53,90,183,21683
7,Jack Chesbro\chesbja01,1946,11,1899,1909,0,41.20,198,132,.600,2.68,392,332,52,260,35,5,2896.2,2647,1206,864,39,690,,1265,113,2,62,11632
8,John Clarkson\clarkjo01,1963,12,1882,1894,0,85.69,328,178,.648,2.81,531,518,12,485,37,5,4536.1,4295,2384,1417,159,1191,,1978,80,0,182,19146
9,Stan Coveleski\covelst01,1969,14,1912,1928,0,65.21,215,142,.602,2.89,450,385,52,223,38,21,3082.0,3055,1227,990,66,802,,981,30,1,35,12729
10,Candy Cummings\cummica01,1939,6,1872,1877,0,38.47,145,94,.607,2.42,242,241,2,233,19,0,2149.2,2526,1450,579,12,113,,259,,0,67,9583
11,Dizzy Dean\deandi01,1953,12,1930,1947,4,42.66,150,83,.644,3.02,317,230,77,154,26,31,1967.1,1919,774,661,95,453,,1163,27,5,12,8171
12,Don Drysdale\drysddo01,1984,14,1956,1969,9,61.21,209,166,.557,2.95,518,465,34,167,49,6,3432.0,3084,1292,1124,280,855,123,2486,154,10,82,14097
13,Dennis Eckersley\eckerde01,2004,24,1975,1998,6,62.53,197,171,.535,3.50,1071,361,577,100,20,390,3285.2,3076,1382,1278,347,738,91,2401,75,16,28,13534
14,Red Faber\faberre01,1964,20,1914,1933,0,68.35,254,213,.544,3.15,669,483,134,273,29,27,4086.2,4106,1813,1430,111,1213,,1471,103,2,52,17104
15,Bob Feller\fellebo01,1962,18,1936,1956,8,65.24,266,162,.621,3.25,570,484,52,279,44,22,3827.0,3271,1557,1384,224,1764,6,2581,60,13,69,16180
16,Rollie Fingers\fingero01,1992,17,1968,1985,7,25.03,114,118,.491,2.90,944,37,709,4,2,341,1701.1,1474,615,549,123,492,109,1299,39,7,40,6942
17,Whitey Ford\fordwh01,1974,16,1950,1967,10,53.89,236,106,.690,2.75,498,438,35,156,45,11,3170.1,2766,1107,967,228,1086,44,1956,28,5,75,13036
18,Pud Galvin\galvipu01,1965,15,1875,1892,0,83.57,365,310,.541,2.85,705,688,19,646,57,2,6003.1,6405,3352,1903,121,745,,1807,61,2,221,25415
19,Bob Gibson\gibsobo01,1981,17,1959,1975,9,81.93,251,174,.591,2.91,528,482,21,255,56,6,3884.1,3279,1420,1258,257,1336,118,3117,102,13,108,16068
