Name,Inducted,By,Category,Votes,% of Ballots,Yrs.x,From.x,To.x,ASG.x,Batting_WAR,G.x,PA,AB,R.x,H.x,2B,3B,HR.x,RBI,SB,CS,BB.x,SO.x,IBB.x,GDP,SF,SH,BA,OBP,SLG,OPS,Yrs.y,From.y,To.y,ASG.y,Pitching_WAR,W,L,W-L%,ERA,G.y,GS,GF,CG,SHO,SV,IP,H.y,R.y,ER,HR.y,BB.y,IBB.y,SO.y,HBP,BK,WP,BF
Addie Joss,1978,Veterans,Player,NA,NA,9,1902,1910,0,-2.2,296,911,817,46,118,21,6,1,51,10,NA,54,297,NA,NA,NA,39,0.144,0.198,0.188,0.387,9,1902,1910,0,45.88,160,97,0.623,1.89,286,260,22,234,45,5,2327,1888,730,488,19,364,NA,920,58,1,28,8891
Al Kaline,1980,BBWAA,Player,340,88.3%,22,1953,1974,18,92.5,2834,11596,10116,1622,3007,498,75,399,1582,137,65,1277,1020,131,271,104,45,0.297,0.376,0.48,0.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Al Simmons,1953,BBWAA,Player,199,75.4%,20,1924,1944,3,68.7,2215,9519,8759,1507,2927,539,149,307,1828,88,65,615,737,NA,23,NA,111,0.334,0.38,0.535,0.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alan Trammell,2018,Veterans,Player,NA,NA,20,1977,1996,6,70.4,2293,9376,8288,1231,2365,412,55,185,1003,236,109,850,874,48,156,76,124,0.285,0.352,0.415,0.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amos Rusie,1977,Veterans,Player,NA,NA,10,1889,1901,0,0.9,487,1765,1730,209,429,42,29,8,176,25,NA,27,186,NA,NA,NA,2,0.248,0.262,0.32,0.582,10,1889,1901,0,68.44,246,174,0.586,3.07,463,427,35,393,30,5,3778.2,3389,2068,1288,75,1707,NA,1950,112,1,153,16313
Andre Dawson,2010,BBWAA,Player,420,77.9%,21,1976,1996,8,64.5,2627,10769,9927,1373,2774,503,98,438,1591,314,109,589,1509,143,217,118,24,0.279,0.323,0.482,0.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andy Cooper,2006,Negro League,Player,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arky Vaughan,1985,Veterans,Player,NA,NA,14,1932,1948,9,72.9,1817,7722,6622,1173,2103,356,128,96,926,118,NA,937,276,NA,70,NA,116,0.318,0.406,0.453,0.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Babe Ruth,1936,BBWAA,Player,215,95.1%,22,1914,1935,2,163.1,2503,10623,8399,2174,2873,506,136,714,2214,123,117,2062,1330,NA,2,NA,113,0.342,0.474,0.69,1.164,22,1914,1935,2,20.59,94,46,0.671,2.28,163,147,12,107,17,4,1221.1,974,400,309,10,441,NA,488,29,4,25,4896
Barry Larkin,2012,BBWAA,Player,495,86.4%,19,1986,2004,12,70.2,2180,9057,7937,1329,2340,441,76,198,960,379,77,939,817,66,178,67,59,0.295,0.371,0.444,0.815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Taylor,2006,Negro League,Player,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bert Blyleven,2011,BBWAA,Player,463,79.7%,22,1970,1992,2,-1.2,218,514,451,19,59,7,0,0,25,0,0,5,193,0,4,0,56,0.131,0.144,0.146,0.29,22,1970,1992,2,96.49,287,250,0.534,3.31,692,685,3,242,60,0,4970,4632,2029,1830,430,1322,71,3701,155,19,114,20491
Bid McPhee,2000,Veterans,Player,NA,NA,18,1882,1899,0,52.4,2138,9429,8304,1684,2258,303,189,53,1072,568,NA,982,377,NA,NA,NA,56,0.272,0.355,0.373,0.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bill Dickey,1954,BBWAA,Player,202,80.2%,17,1928,1946,11,55.8,1789,7065,6300,930,1969,343,72,202,1209,36,32,678,289,NA,49,NA,51,0.313,0.382,0.486,0.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
