Name,WAR,Bats/Throws,HoF
Babe Ruth,183.7,L,TRUE
Cy Young,168.5,R,TRUE
Walter Johnson,165.6,R,TRUE
Barry Bonds,162.4,L,FALSE
Willie Mays,156.2,R,TRUE
Ty Cobb,151.1,L,TRUE
Hank Aaron,142.6,R,TRUE
Roger Clemens,140.3,R,FALSE
Tris Speaker,133.7,L,TRUE
Honus Wagner,131,R,TRUE
Stan Musial,128.1,L,TRUE
Rogers Hornsby,127,R,TRUE
Eddie Collins,123.9,L,TRUE
Ted Williams,123.2,L,TRUE
Pete Alexander,120,R,TRUE
Alex Rodriguez,117.7,R,FALSE
Kid Nichols,116.5,B,TRUE
Lou Gehrig,112.4,L,TRUE
Rickey Henderson,110.8,R,TRUE
Tom Seaver,110.5,R,TRUE
Mickey Mantle,109.7,B,TRUE
Mel Ott,107.8,L,TRUE
Nap Lajoie,107.4,R,TRUE
Frank Robinson,107.2,R,TRUE
Greg Maddux,106.9,R,TRUE
Mike Schmidt,106.5,R,TRUE
Lefty Grove,103.6,L,TRUE
Randy Johnson,102.1,R,TRUE
Christy Mathewson,101.7,R,TRUE
Joe Morgan,100.3,L,TRUE
Warren Spahn,100.2,L,TRUE
Albert Pujols,99.4,R,FALSE
Jimmie Foxx,97.4,R,TRUE
Phil Niekro,96.6,R,TRUE
Eddie Mathews,96.4,L,TRUE
Carl Yastrzemski,96.1,L,TRUE
Cal Ripken,95.5,R,TRUE
Bert Blyleven,95.3,R,TRUE
Roberto Clemente,94.5,R,TRUE
Adrian Beltre,93.9,R,FALSE
Cap Anson,93.8,R,TRUE
Al Kaline,92.5,R,TRUE
Wade Boggs,91.1,L,TRUE
Gaylord Perry,91,R,TRUE
Steve Carlton,90.4,L,TRUE
Bob Gibson,89.9,R,TRUE
Eddie Plank,89.9,L,TRUE
George Brett,88.4,L,TRUE
Tim Keefe,86.7,R,TRUE
Robin Roberts,86.1,B,TRUE
Chipper Jones,85,B,TRUE
Fergie Jenkins,84.9,R,TRUE
George Davis,84.3,B,TRUE
Roger Connor,84.1,B,TRUE
John Clarkson,84,R,TRUE
Pedro Martinez,84,R,TRUE
Ken Griffey,83.6,L,TRUE
Mike Mussina,83,L,FALSE
Nolan Ryan,81.8,R,TRUE
Tom Glavine,81.5,L,TRUE
Rod Carew,81.1,L,TRUE
Charlie Gehringer,80.6,L,TRUE
Curt Schilling,79.9,R,FALSE
Jeff Bagwell,79.6,R,TRUE
Pete Rose,79.1,B,FALSE
Brooks Robinson,78.4,R,TRUE
Dan Brouthers,78.3,L,TRUE
Joe DiMaggio,78.1,R,TRUE
Robin Yount,77,R,TRUE
Ozzie Smith,76.5,B,TRUE
Bobby Wallace,76.3,R,TRUE
Old Hoss Radbourn,76,R,TRUE
Jim McCormick,75.8,R,FALSE
Paul Molitor,75.4,R,TRUE
Bill Dahlen,75.2,R,FALSE
Sam Crawford,75.1,L,TRUE
Johnny Bench,75,R,TRUE
Lou Whitaker,74.9,L,FALSE
Luke Appling,74.5,R,TRUE
Reggie Jackson,73.8,L,TRUE
Pud Galvin,73.7,R,TRUE
Frank Thomas,73.7,R,TRUE
Jim Thome,72.9,L,TRUE
Arky Vaughan,72.9,L,TRUE
Paul Waner,72.8,L,TRUE
Larry Walker,72.6,L,FALSE
Harry Heilmann,72.1,R,TRUE
Derek Jeter,71.8,R,FALSE
Rafael Palmeiro,71.6,L,FALSE
Ted Lyons,71.5,B,TRUE
Johnny Mize,71,L,TRUE
Bobby Grich,70.9,R,FALSE
Frankie Frisch,70.4,B,TRUE
Red Ruffing,70.4,R,TRUE
Ron Santo,70.4,R,TRUE
Alan Trammell,70.4,R,TRUE
Barry Larkin,70.2,R,TRUE
Rick Reuschel,70,R,FALSE
Scott Rolen,70,R,FALSE
Gary Carter,69.9,R,TRUE
Carlos Beltran,69.8,B,FALSE
Ed Delahanty,69.5,R,TRUE
John Smoltz,69.5,R,TRUE
Jim Palmer,69.4,R,TRUE
Amos Rusie,69.3,R,TRUE
Manny Ramirez,69.2,R,FALSE
Tim Raines,69.1,B,TRUE
Miguel Cabrera,68.8,R,FALSE
Tony Gwynn,68.8,L,TRUE
Al Simmons,68.7,R,TRUE
Ivan Rodriguez,68.4,R,TRUE
Kevin Brown,68.3,R,FALSE
Carlton Fisk,68.3,R,TRUE
Edgar Martinez,68.3,R,FALSE
Eddie Murray,68.3,B,TRUE
Kenny Lofton,68.2,L,FALSE
Graig Nettles,68,L,FALSE
Fred Clarke,67.8,L,TRUE
Tony Mullane,67.8,B,FALSE
Carl Hubbell,67.5,R,TRUE
Ryne Sandberg,67.5,R,TRUE
Ernie Banks,67.4,R,TRUE
Don Sutton,67.4,R,TRUE
Don Drysdale,67.2,R,TRUE
Dwight Evans,66.9,R,FALSE
Roberto Alomar,66.8,B,TRUE
Luis Tiant,66.7,R,FALSE
Duke Snider,66.5,L,TRUE
Joe Cronin,66.4,R,TRUE
Pee Wee Reese,66.4,R,TRUE
Buddy Bell,66.1,R,FALSE
Goose Goslin,66.1,L,TRUE
Robinson Cano,65.7,L,FALSE
Willie Randolph,65.5,R,FALSE
Ed Walsh,65.5,R,TRUE
Chase Utley,65.4,L,FALSE
Craig Biggio,65.1,R,TRUE
Red Faber,64.8,B,TRUE
Roy Halladay,64.7,R,FALSE
Andre Dawson,64.5,R,TRUE
Reggie Smith,64.5,B,FALSE
Willie McCovey,64.4,L,TRUE
John Ward,64,L,TRUE
Dave Winfield,63.8,R,TRUE
Richie Ashburn,63.6,L,TRUE
Bob Feller,63.6,R,TRUE
Billy Williams,63.6,L,TRUE
Vic Willis,63.5,R,TRUE
Billy Hamilton,63.3,L,TRUE
Juan Marichal,63.1,R,TRUE
Mickey Welch,63.1,R,TRUE
Lou Boudreau,63,R,TRUE
Dennis Eckersley,63,R,TRUE
Hal Newhouser,63,L,TRUE
Home Run Baker,62.8,L,TRUE
